food_name,portion_hint,alias_zh,alias_en
牛肉麵,1 bowl (about 550 g),,
紅燒牛肉麵,1 bowl (about 550 g),,
清燉牛肉麵,1 bowl (about 550 g),,
牛肉湯麵,1 bowl (about 550 g),,
牛肉湯餃,1 bowl (about 550 g),,
雞絲麵,1 bowl (about 550 g),,
陽春麵,1 bowl (about 550 g),,
乾麵,1 bowl (about 550 g),,
麻醬麵,1 bowl (about 550 g),,
炸醬麵,1 bowl (about 550 g),,
擔仔麵,1 bowl (about 550 g),,
榨菜肉絲麵,1 bowl (about 550 g),,
餛飩麵,1 bowl (about 550 g),,
排骨麵,1 bowl (about 550 g),,
雞腿麵,1 bowl (about 550 g),,
肉燥麵,1 bowl (about 550 g),,
涼麵,1 bowl (about 550 g),,
海鮮麵,1 bowl (about 550 g),,
烏龍麵,1 bowl (about 550 g),,
日式拉麵,1 bowl (about 550 g),,
豚骨拉麵,1 bowl (about 550 g),,
味噌拉麵,1 bowl (about 550 g),,
炒麵,1 bowl (about 550 g),,
炒米粉,1 serving (about 300 g),,
米粉湯,1 bowl (about 550 g),,
粄條,1 serving (about 300 g),,
客家粄條,1 serving (about 300 g),,
牛肉炒麵,1 bowl (about 550 g),,
牛肉炒飯,1 meal box / bowl (about 420 g),,
蝦仁炒飯,1 meal box / bowl (about 420 g),,
蛋炒飯,1 meal box / bowl (about 420 g),,
香腸炒飯,1 meal box / bowl (about 420 g),,
鳳梨炒飯,1 meal box / bowl (about 420 g),,
咖哩飯,1 meal box / bowl (about 420 g),,
雞肉咖哩飯,1 meal box / bowl (about 420 g),,
豬排咖哩飯,1 meal box / bowl (about 420 g),,
牛丼,1 meal box / bowl (about 420 g),,
親子丼,1 meal box / bowl (about 420 g),,
鰻魚飯,1 meal box / bowl (about 420 g),,
滷肉飯,1 meal box / bowl (about 420 g),,
雞肉飯,1 meal box / bowl (about 420 g),,
控肉飯,1 meal box / bowl (about 420 g),,
排骨飯,1 meal box / bowl (about 420 g),,
雞腿便當,1 meal box / bowl (about 420 g),,
雞排便當,1 meal box / bowl (about 420 g),,
雞胸肉便當,1 meal box / bowl (about 420 g),,
牛肉便當,1 meal box / bowl (about 420 g),,
豬排便當,1 meal box / bowl (about 420 g),,
滷排骨便當,1 meal box / bowl (about 420 g),,
魚排便當,1 meal box / bowl (about 420 g),,
三杯雞便當,1 meal box / bowl (about 420 g),,
烤鯖魚便當,1 meal box / bowl (about 420 g),,
燒肉便當,1 meal box / bowl (about 420 g),,
焢肉便當,1 meal box / bowl (about 420 g),,
素食便當,1 meal box / bowl (about 420 g),,
健康餐盒,1 meal box / bowl (about 420 g),,
水煮雞胸餐盒,1 meal box / bowl (about 420 g),,
沙拉雞胸餐盒,1 meal box / bowl (about 420 g),,
鮭魚餐盒,1 meal box / bowl (about 420 g),,
壽司便當,1 meal box / bowl (about 420 g),,
手捲壽司,1 meal box / bowl (about 420 g),,
鮭魚壽司,1 meal box / bowl (about 420 g),,
鮪魚壽司,1 meal box / bowl (about 420 g),,
花壽司,1 meal box / bowl (about 420 g),,
豆皮壽司,1 meal box / bowl (about 420 g),,
生魚片丼飯,1 meal box / bowl (about 420 g),,
炸蝦丼飯,1 meal box / bowl (about 420 g),,
唐揚雞丼飯,1 meal box / bowl (about 420 g),,
石鍋拌飯,1 bowl (about 550 g),,
韓式拌飯,1 meal box / bowl (about 420 g),,
韓式烤肉飯,1 meal box / bowl (about 420 g),,
泡菜鍋,1 bowl (about 550 g),,
部隊鍋,1 bowl (about 550 g),,
海鮮豆腐鍋,1 bowl (about 550 g),,
麻辣鍋,1 bowl (about 550 g),,
麻辣燙,1 serving (about 300 g),,
關東煮,1 serving (about 300 g),,
水餃,1 serving (about 300 g),,
鍋貼,1 bowl (about 550 g),,
蒸餃,1 serving (about 300 g),,
小籠包,1 serving (about 300 g),,
韭菜盒,1 serving (about 300 g),,
蔥油餅,1 serving (about 300 g),,
蛋餅,1 serving (about 300 g),,
起司蛋餅,1 serving (about 300 g),,
