lang,food_name,canonical_name,calorie_range,macros,food_items,judgement_tags,dish_summary,suggestion,is_beverage,is_food,is_active,beverage_base_ml,beverage_full_sugar_carbs,beverage_default_sugar_ratio,beverage_sugar_adjustable,beverage_profile,source,verified_level,image_url,thumb_url,image_source,image_license,reference_used
zh-TW,沙拉雞胸餐盒,沙拉雞胸餐盒,511-625 kcal,"{""carbs"":75,""sodium"":1100,""protein"":22,""fat"":20}","[""main ingredient"",""carbs"",""sauce""]","[""higher carbs""]",Common local meal.,Add vegetables and reduce sauce when possible.,false,true,true,,,,,{},manual_seed,2,,,,,catalog
zh-TW,凱薩沙拉,凱薩沙拉,511-625 kcal,"{""carbs"":75,""sodium"":1100,""protein"":22,""fat"":20}","[""main ingredient"",""carbs"",""sauce""]","[""higher carbs""]",Common local meal.,Add vegetables and reduce sauce when possible.,false,true,true,,,,,{},manual_seed,2,,,,,catalog
zh-TW,和風沙拉,和風沙拉,511-625 kcal,"{""carbs"":75,""sodium"":1100,""protein"":22,""fat"":20}","[""main ingredient"",""carbs"",""sauce""]","[""higher carbs""]",Common local meal.,Add vegetables and reduce sauce when possible.,false,true,true,,,,,{},manual_seed,2,,,,,catalog
zh-TW,鮪魚沙拉,鮪魚沙拉,511-625 kcal,"{""carbs"":75,""sodium"":1100,""protein"":22,""fat"":20}","[""main ingredient"",""carbs"",""sauce""]","[""higher carbs""]",Common local meal.,Add vegetables and reduce sauce when possible.,false,true,true,,,,,{},manual_seed,2,,,,,catalog
zh-TW,雞肉沙拉,雞肉沙拉,511-625 kcal,"{""carbs"":75,""sodium"":1100,""protein"":22,""fat"":20}","[""main ingredient"",""carbs"",""sauce""]","[""higher carbs""]",Common local meal.,Add vegetables and reduce sauce when possible.,false,true,true,,,,,{},manual_seed,2,,,,,catalog
zh-TW,水果沙拉,水果沙拉,511-625 kcal,"{""carbs"":75,""sodium"":1100,""protein"":22,""fat"":20}","[""main ingredient"",""carbs"",""sauce""]","[""higher carbs""]",Common local meal.,Add vegetables and reduce sauce when possible.,false,true,true,,,,,{},manual_seed,2,,,,,catalog
zh-TW,無糖豆漿,無糖豆漿,511-625 kcal,"{""carbs"":75,""sodium"":1100,""protein"":22,""fat"":20}","[""main ingredient"",""carbs"",""sauce""]","[""higher carbs""]",Common local meal.,Add vegetables and reduce sauce when possible.,false,true,true,,,,,{},manual_seed,2,,,,,catalog
zh-TW,有糖豆漿,有糖豆漿,511-625 kcal,"{""carbs"":75,""sodium"":1100,""protein"":22,""fat"":20}","[""main ingredient"",""carbs"",""sauce""]","[""higher carbs""]",Common local meal.,Add vegetables and reduce sauce when possible.,false,true,true,,,,,{},manual_seed,2,,,,,catalog
zh-TW,米漿,米漿,511-625 kcal,"{""carbs"":75,""sodium"":1100,""protein"":22,""fat"":20}","[""main ingredient"",""carbs"",""sauce""]","[""higher carbs""]",Common local meal.,Add vegetables and reduce sauce when possible.,false,true,true,,,,,{},manual_seed,2,,,,,catalog
zh-TW,黑豆漿,黑豆漿,511-625 kcal,"{""carbs"":75,""sodium"":1100,""protein"":22,""fat"":20}","[""main ingredient"",""carbs"",""sauce""]","[""higher carbs""]",Common local meal.,Add vegetables and reduce sauce when possible.,false,true,true,,,,,{},manual_seed,2,,,,,catalog
